경기 번호, 날짜, 닉네임, 요원, 맵, 순위, 킬, 데스, 어시스트, ACS, ADR, DDΔ, HS, FK, FD, MK, PL, DF, 승패, rounds
2,2025-06-16-21-09,김뚜띠,요루,어센트,1,28,13,6,381.05,250,109,26,4,0,4,0,0,v,13
2,2025-06-16-21-09,빅헤드,사이퍼,어센트,5,16,13,7,224.14,157,47,23,4,2,1,0,0,v,13
2,2025-06-16-21-09,고수달,오멘,어센트,6,17,15,9,222.29,147,-52,37,1,0,4,1,0,v,13
2,2025-06-16-21-09,핑맨,피닉스,어센트,7,16,16,1,194.24,135,-40,41,4,3,0,1,0,v,13
2,2025-06-16-21-09,유봄냥,소바,어센트,10,7,14,7,103.76,70,-112,8,1,2,0,8,0,v,13
2,2025-06-16-21-09,마뫄,소바,어센트,2,18,15,10,286.29,211,76,24,0,2,1,3,0,l,8
2,2025-06-16-21-09,짜누,제트,어센트,3,18,17,6,264.19,178,32,23,4,3,2,0,1,l,8
2,2025-06-16-21-09,감제이,킬조이,어센트,4,17,17,3,228.57,147,-68,17,3,3,3,1,1,l,8
2,2025-06-16-21-09,울프,오멘,어센트,8,10,18,8,156.14,103,-56,22,0,3,0,0,0,l,8
2,2025-06-16-21-09,러너,케이/오,어센트,9,8,17,9,121.43,73,-78,9,0,3,0,0,1,l,8
4,2025-06-16-21-55,짜누,아이소,헤이븐,1,22,16,8,299.62,211,57,26,3,3,3,0,0,v,13
4,2025-06-16-21-55,러너,킬조이,헤이븐,4,18,13,5,253.38,170,6,24,3,2,2,1,1,v,13
4,2025-06-16-21-55,마뫄,소바,헤이븐,5,18,12,9,244.95,175,69,23,0,0,2,3,0,v,13
4,2025-06-16-21-55,울프,네온,헤이븐,7,14,17,3,184.81,116,-23,18,3,6,1,0,2,v,13
4,2025-06-16-21-55,감제이,오멘,헤이븐,9,10,14,14,154.33,98,-38,14,1,0,1,4,0,v,13
4,2025-06-16-21-55,핑맨,피닉스,헤이븐,2,19,17,3,269.19,163,-10,29,4,4,2,0,0,l,8
4,2025-06-16-21-55,김뚜띠,요루,헤이븐,3,18,15,7,259.71,166,42,15,4,0,1,0,1,l,8
4,2025-06-16-21-55,빅헤드,사이퍼,헤이븐,6,14,17,5,197.48,134,-21,14,2,2,1,0,0,l,8
4,2025-06-16-21-55,유봄냥,소바,헤이븐,8,14,15,3,169.57,114,-38,20,0,2,1,5,1,l,8
4,2025-06-16-21-55,고수달,오멘,헤이븐,10,7,18,8,99.67,75,-92,22,1,2,0,0,0,l,8
5,2025-06-16-22-07,조별하,아이소,로터스,1,22,16,7,292.26,194,65,38,2,3,3,0,1,v,13
5,2025-06-16-22-07,푸린,페이드,로터스,4,21,16,9,240.61,132,3,38,4,4,3,0,1,v,13
5,2025-06-16-22-07,눈꽃,제트,로터스,5,19,15,3,237.91,159,-25,24,3,3,2,0,0,v,13
5,2025-06-16-22-07,백곰파,사이퍼,로터스,6,16,17,4,213.91,147,-44,13,1,2,1,0,0,v,13
5,2025-06-16-22-07,임나은,오멘,로터스,9,10,12,10,146.35,105,10,19,1,0,0,11,0,v,13
5,2025-06-16-22-07,강지형,요루,로터스,2,21,18,10,281.7,189,48,14,3,3,2,1,0,l,10
5,2025-06-16-22-07,뱅,아이소,로터스,3,20,18,2,248.26,155,4,12,4,3,1,0,2,l,10
5,2025-06-16-22-07,강지,킬조이,로터스,7,15,15,6,197.7,143,11,15,2,1,1,0,1,l,10
5,2025-06-16-22-07,아구이뽀,페이드,로터스,8,14,16,9,156.39,99,-49,9,3,2,1,7,0,l,10
5,2025-06-16-22-07,따효니,클로브,로터스,10,6,21,7,87.26,56,-110,6,0,2,0,1,0,l,10
6,2025-06-16-22-42,김뚜띠,레이즈,로터스,1,31,15,2,390.0,237,108,29,4,1,5,0,1,v,13
6,2025-06-16-22-42,핑맨,아이소,로터스,4,16,20,5,196.91,130,-39,29,4,6,2,0,0,v,13
6,2025-06-16-22-42,빅헤드,바이스,로터스,5,13,13,4,181.74,128,21,17,1,2,1,0,1,v,13
6,2025-06-16-22-42,고수달,오멘,로터스,7,10,19,8,144.35,95,-69,15,0,3,1,1,0,v,13
6,2025-06-16-22-42,유봄냥,페이드,로터스,9,9,12,9,115.78,80,-18,20,0,2,0,6,0,v,13
6,2025-06-16-22-42,울프,네온,로터스,2,29,15,8,332.13,215,80,27,5,2,2,0,1,l,10
6,2025-06-16-22-42,짜누,아이소,로터스,3,23,16,9,296.61,196,58,26,4,0,1,0,0,l,10
6,2025-06-16-22-42,감제이,오멘,로터스,6,11,13,13,149.48,90,-27,12,1,1,1,1,0,l,10
6,2025-06-16-22-42,러너,바이스,로터스,8,9,17,8,138.61,95,-40,16,3,2,0,0,1,l,10
6,2025-06-16-22-42,마뫄,페이드,로터스,10,7,18,8,99.17,68,-75,21,1,4,0,4,0,l,10
7,2025-06-16-23-37,마뫄,페이드,스플릿,1,17,5,2,297.64,187,83,37,1,0,3,3,0,v,13
7,2025-06-16-23-37,짜누,레이나,스플릿,2,16,7,3,292.36,188,101,23,3,0,1,0,0,v,13
7,2025-06-16-23-37,러너,바이스,스플릿,3,14,8,7,289.21,183,76,20,2,1,0,0,0,v,13
7,2025-06-16-23-37,울프,피닉스,스플릿,4,13,4,2,242.79,167,79,27,2,2,2,1,1,v,13
7,2025-06-16-23-37,감제이,오멘,스플릿,7,7,6,8,151.36,106,24,9,2,1,0,7,0,v,13
7,2025-06-16-23-37,핑맨,레이나,스플릿,5,8,14,1,183.0,109,-81,13,2,2,0,0,0,l,1
7,2025-06-16-23-37,김뚜띠,레이즈,스플릿,6,7,13,3,180.36,121,-34,16,1,5,1,0,0,l,1
7,2025-06-16-23-37,빅헤드,사이퍼,스플릿,8,6,13,0,124.07,89,-68,39,0,2,0,0,0,l,1
7,2025-06-16-23-37,고수달,오멘,스플릿,9,6,13,2,121.43,70,-94,38,0,1,0,0,0,l,1
7,2025-06-16-23-37,유봄냥,페이드,스플릿,10,3,14,4,95.57,80,-85,14,1,0,0,1,0,l,1
8,2025-06-17-00-12,조별하,피닉스,헤이븐,1,28,9,5,431.89,283,168,27,4,2,3,0,1,v,13
8,2025-06-17-00-12,눈꽃,제트,헤이븐,3,12,11,5,200.83,142,3,18,1,3,0,0,1,v,13
8,2025-06-17-00-12,푸린,소바,헤이븐,4,12,9,2,178.33,119,11,42,1,3,0,0,0,v,13
8,2025-06-17-00-12,백곰파,사이퍼,헤이븐,6,10,9,4,165.5,117,23,13,1,2,0,1,0,v,13
8,2025-06-17-00-12,임나은,오멘,헤이븐,9,10,11,5,128.94,79,-42,22,0,1,0,9,0,v,13
8,2025-06-17-00-12,강지,제트,헤이븐,2,16,15,3,242.78,145,-5,22,5,1,1,0,0,l,5
8,2025-06-17-00-12,뱅,킬조이,헤이븐,5,10,15,1,175.11,131,-40,20,2,3,1,0,0,l,5
8,2025-06-17-00-12,따효니,페이드,헤이븐,7,9,13,7,152.39,104,-87,23,1,2,0,2,0,l,5
8,2025-06-17-00-12,강지형,요루,헤이븐,8,7,16,6,145.39,130,-19,14,0,1,0,0,0,l,5
8,2025-06-17-00-12,아구이뽀,오멘,헤이븐,10,7,13,5,107.89,68,-65,7,3,0,1,3,1,l,5
9,2025-06-17-00-15,짜누,레이나,펄,1,25,15,5,297.38,180,47,20,2,5,3,0,0,v,13
9,2025-06-17-00-15,울프,네온,펄,4,18,20,2,221.25,134,-23,19,4,4,2,1,1,v,13
9,2025-06-17-00-15,마뫄,페이드,펄,5,17,18,10,206.46,146,-3,16,2,2,1,7,0,v,13
9,2025-06-17-00-15,감제이,아스트라,펄,6,16,13,12,183.92,132,16,38,1,0,0,0,2,v,13
9,2025-06-17-00-15,러너,바이스,펄,10,6,15,8,92.0,70,-62,21,1,3,0,0,2,v,13
9,2025-06-17-00-15,핑맨,피닉스,펄,2,22,19,6,289.25,193,12,37,7,4,4,1,1,l,11
9,2025-06-17-00-15,김뚜띠,요루,펄,3,22,16,2,245.92,173,48,30,5,2,3,0,1,l,11
9,2025-06-17-00-15,빅헤드,바이스,펄,7,14,15,6,170.38,134,19,22,0,2,1,0,0,l,11
9,2025-06-17-00-15,유봄냥,페이드,펄,8,14,17,6,163.75,103,-19,32,2,1,0,5,2,l,11
9,2025-06-17-00-15,고수달,아스트라,펄,9,9,15,9,116.17,81,-35,14,0,1,0,2,0,l,11
